Places to Travel,Best Time to Travel,No of People Travel With,Days to Travel,Popularity
Barcelona,Autumn,5,10,9
Toronto,Autumn,3+,9,8
Rome,Summer,1+,6,4
Toronto,Autumn,2+,9,5
Istanbul,Summer,5+,7,6
Paris,Summer,5,13,7
Toronto,Autumn,3,6,6
New York,Winter,3+,8,10
Barcelona,Spring,3,11,3
Mexico City,Summer,1,3,4
Mumbai,Spring,2+,4,4
New York,Winter,2,14,3
London,Autumn,5+,13,4
Bangkok,Summer,4+,6,8
Dubai,Spring,5+,9,5
Moscow,Autumn,1+,14,10
Mumbai,Autumn,5+,8,10
Moscow,Autumn,5+,4,6
Istanbul,Spring,2,13,1
Hong Kong,Autumn,4,12,5
Cape Town,Spring,5+,5,2
Paris,Winter,5+,7,2
Istanbul,Spring,5+,14,2
Bangkok,Spring,5+,4,6
London,Summer,4,7,10
Singapore,Summer,2,7,7
Bangkok,Summer,5+,3,2
Moscow,Autumn,5+,10,5
Rome,Summer,4,8,4
Bangkok,Winter,5+,3,5
Sydney,Winter,3,15,4
Rome,Summer,5+,11,10
Toronto,Summer,5+,13,1
Singapore,Summer,4,11,10
Mexico City,Autumn,2,3,2
Bangkok,Winter,4,15,6
Barcelona,Autumn,5+,11,1
Dubai,Winter,5+,9,3
Tokyo,Winter,1,7,6
Mumbai,Winter,5+,7,5
London,Winter,5,3,9
Singapore,Winter,2,7,7
Bangkok,Spring,5+,3,4
Mexico City,Autumn,5+,11,5
Istanbul,Autumn,5+,13,6
Singapore,Autumn,3+,15,4
Hong Kong,Autumn,4,11,6
Los Angeles,Summer,3,3,4
Mumbai,Winter,5+,15,1
Istanbul,Summer,2+,8,8
New York,Spring,4+,3,6
Singapore,Spring,3,5,6
Sydney,Summer,1,14,10
Mumbai,Summer,3,15,8
Rome,Summer,5+,15,2
Cape Town,Summer,3,15,6
Mumbai,Winter,2,12,9
Singapore,Winter,5,15,8
Bangkok,Autumn,5+,8,9
Dubai,Winter,2,5,8
Rome,Autumn,1,6,4
Los Angeles,Spring,2+,11,5
Cape Town,Autumn,4,10,3
Mumbai,Winter,2,10,10
Los Angeles,Spring,4,15,6
Mexico City,Winter,1,9,7
Sydney,Autumn,5+,9,5
Cape Town,Winter,1,9,1
Los Angeles,Summer,5,15,9
Rome,Winter,5+,5,9
Paris,Summer,5+,7,2
Berlin,Summer,2+,11,5
Barcelona,Summer,1,8,2
Los Angeles,Autumn,4,13,2
Bangkok,Summer,4+,10,3
Hong Kong,Spring,4,7,4
Berlin,Spring,2,12,9
Tokyo,Summer,5+,3,9
Los Angeles,Summer,5+,12,1
Bangkok,Summer,5,10,9
Singapore,Autumn,3,9,10
Singapore,Summer,5,7,4
Singapore,Winter,5+,15,9
Barcelona,Autumn,2,9,1
Rio de Janeiro,Spring,5+,7,8
Mexico City,Spring,5+,7,6
Moscow,Spring,5+,15,6
Mumbai,Summer,1,5,3
Hong Kong,Summer,1,6,1
Cape Town,Winter,5+,7,3
Berlin,Autumn,5+,3,10
Dubai,Autumn,5+,11,8
Bangkok,Winter,5+,3,5
New York,Winter,5,14,7
Singapore,Autumn,2,13,2
Singapore,Summer,5,6,9
New York,Summer,5+,7,5
Singapore,Winter,4,4,10
Rome,Spring,1,14,10
Berlin,Summer,3+,6,1
Istanbul,Autumn,3,15,9
Toronto,Spring,2+,15,3
Rome,Winter,5,11,5
Moscow,Autumn,5+,13,1
Berlin,Spring,5,5,6
Sydney,Winter,2+,13,7
Hong Kong,Autumn,5+,12,9
Toronto,Autumn,5,7,4
Berlin,Winter,5+,6,4
Mumbai,Summer,1,15,1
Cape Town,Summer,5,3,8
Istanbul,Summer,3,10,2
Toronto,Summer,5+,8,3
Dubai,Summer,2+,7,9
Rio de Janeiro,Winter,1,8,8
New York,Autumn,5+,11,3
Paris,Autumn,5,5,7
Bangkok,Spring,5,9,8
Sydney,Summer,1+,12,5
Mumbai,Spring,5+,6,5
Toronto,Summer,1+,11,4
New York,Spring,5+,6,1
London,Summer,4+,3,1
Los Angeles,Autumn,2+,3,10
London,Winter,5+,5,7
Istanbul,Spring,2,15,8
London,Spring,4,9,6
Tokyo,Summer,5,14,6
Bangkok,Winter,5+,9,10
Berlin,Autumn,2,15,3
London,Winter,3,5,6
Bangkok,Spring,1,4,8
New York,Spring,2,4,7
Bangkok,Summer,5,9,10
Barcelona,Summer,5+,8,4
Los Angeles,Summer,3,15,1
New York,Summer,1,5,1
Singapore,Autumn,2+,15,3
Los Angeles,Autumn,1,4,9
Singapore,Spring,1,12,7
Rio de Janeiro,Summer,4,3,5
Istanbul,Summer,1+,6,6
Barcelona,Winter,2,9,2
Los Angeles,Summer,1+,8,4
Cape Town,Spring,2+,5,6
Dubai,Spring,5+,13,6
Singapore,Summer,5+,4,3
Moscow,Summer,4,5,10
Bangkok,Summer,2,3,3
Hong Kong,Spring,5+,7,2
